id,house,state,constituency_term,name,party,age,gender,assets,liabilities,cases,serious_cases,education,pan,income,profession,assets_ns,liabilities_ns,cases_ns,serious_cases_ns,income_ns,gender_encoded,house_encoded,education_encoded
658,Lok Sabha,Uttar Pradesh,Jalaun,Bhanu Pratap Singh,BJP,60,M,10699516,12265,1,1,Post Graduate,Y,720000,Agriculture & MPs Salary,0.0001992063489742526,5.8466151363693774e-06,0.004901960784313725,0.01818181818181818,0.0002746933408907067,1,0,10
659,Lok Sabha,Uttar Pradesh,Fatehpur,Sadhvi Niranjan Jyoti,BJP,52,F,10667372,910148,0,0,12th Pass,Y,600000,Narrator,0.00019859988141393241,0.0004338593618537559,0.0,0.0,0.00022891111740892223,0,0,1
660,Lok Sabha,West Bengal,Mathurapur,Choudhury Mohan Jatua,AITC,80,M,10667304,0,0,0,Post Graduate,Y,1792699,Retried IPS Officer,0.0001985985984437326,0.0,0.0,0.0,0.0006839478854464291,1,0,10
661,Lok Sabha,Madhya Pradesh,Khajuraho,Vishnu Datt Sharma,BJP,49,M,10589334,2507176,0,0,Post Graduate,Y,7970,Agriculturist,0.0001971275221720127,0.0011951482389842667,0.0,0.0,3.040702676248517e-06,1,0,10
662,Lok Sabha,Bihar,Maharajganj,Janardan Singh Sigriwal,BJP,55,M,10451986,376000,5,5,Graduate,Y,103902,Social Worker,0.00019453614877496016,0.0001792358166551069,0.024509803921568627,0.09090909090909091,3.9640538201703066e-05,1,0,5
663,Lok Sabha,West Bengal,Jhargram,Kunar Hembram,BJP,56,M,10387498,565000,0,0,Graduate Professional,Y,348580,Profession - Engineer,0.0001933194402125557,0.00026933041598440266,0.0,0.0,0.0001329897288440035,1,0,6
664,Lok Sabha,West Bengal,Kolkata Dakshin,Mala Roy,AITC,61,F,10308401,0,3,1,Graduate,Y,306400,"Social Service, Councillor Ward No-88",0.0001918271005964953,0.0,0.014705882352941176,0.01818181818181818,0.00011689727729015629,0,0,5
665,Rajya Sabha,Assam,2019-2025,Kamakhya Prasad Tasa,BJP,43,M,10262015,0,0,0,Post Graduate,Y,702140,Cultivator and Politician,0.00019095192624815619,0.0,0.0,0.0,0.0002678794199625011,1,1,10
666,Lok Sabha,Gujarat,Panchmahal,Ratansinh Rathod,BJP,59,M,10260663,1081611,0,0,Graduate Professional,Y,984085,"Social Worker, Agriculture",0.00019092641778183114,0.0005155942310854968,0.0,0.0,0.00037544666162559875,1,0,6
667,Lok Sabha,West Bengal,Maldaha Uttar,Khagen Murmu,BJP,59,M,10232439,1070914,4,2,Graduate,Y,287570,Agriculture,0.00019039390968008657,0.0005104950674398594,0.0196078431372549,0.03636363636363636,0.00010971328338880628,1,0,5
